REPO_PATH: code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
FILE_NAME: antiplatelet_dmd.csv

CONTENT_START
dmd_code,term
12888011000001100,Plavix 75mg tablets (Waymade Healthcare Plc) 100 tablet (product)
13031001000001106,Trolactin
13058001000001103,Atransipar
13115811000001104,Aspirin 75mg gastro-resistant tablets (Dowelhurst Ltd) (product)
13115911000001109,Aspirin 75mg gastro-resistant tablets (Dowelhurst Ltd) 28 tablet (product)
13116711000001104,Aspirin 75mg gastro-resistant tablets (Dowelhurst Ltd) 56 tablet (product)
13127301000001105,Mandaprin
13147901000001108,Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets (product)
13148001000001105,Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets (product)
13156701000001105,Dipyridamole 200mg modified-release capsules (product)
13156801000001101,Dipyridamole 10mg/2ml solution for injection ampoules (product)
13157001000001106,Dipyridamole 200mg modified-release / Aspirin 25mg capsules (product)
13157001000001106,Dipyridamole 200mg modified-release / Aspirin 25mg capsules (product)
13178111000001107,Aspirin 75mg dispersible tablets (Dowelhurst Ltd) (product)
13178211000001101,Aspirin 75mg dispersible tablets (Dowelhurst Ltd) 100 tablet (product)
13178311000001109,Aspirin 75mg dispersible tablets (Dowelhurst Ltd) 1000 tablet (product)
13178411000001102,Aspirin 75mg dispersible tablets (Dowelhurst Ltd) 28 tablet (product)
13254001000001100,Dipyridamole 50mg/5ml oral suspension sugar free (product)
13296701000001100,Aspirin + Isosorbide mononitrate (product)
1359911000001104,Dipyridamole 100mg tablets (A A H Pharmaceuticals Ltd) 84 tablet 6 x 14 tablets (product)
1360011000001102,Dipyridamole 100mg tablets (Accord Healthcare Ltd) 84 tablet
1360111000001101,Persantin 100mg tablets (Boehringer Ingelheim Ltd) 84 tablet 6 x 14 tablets (product)
1360211000001107,Dipyridamole 100mg tablets (Viatris UK Healthcare Ltd) 84 tablet 6 x 14 tablets
1360511000001105,Dipyridamole 100mg tablets (Kent Pharma (UK) Ltd) 84 tablet
1360611000001109,Dipyridamole 100mg tablets (Kent Pharma (UK) Ltd) 100 tablet
1361711000001108,Dipyridamole 100mg tablets (Unichem Plc) 84 tablet (product)
13662311000001102,Aspirin 75mg dispersible tablets (Numark Management Ltd) (product)
13662411000001109,Aspirin 75mg dispersible tablets (Numark Management Ltd) 100 tablet (product)
13663311000001107,Clopidogrel 300mg tablets 30 tablet (product)
13663511000001101,Plavix 300mg tablets (sanofi-aventis) (product)
13663611000001102,Plavix 300mg tablets (sanofi-aventis) 30 tablet 3 x 10 tablets (product)
1370411000001104,Persantin Retard 200mg capsules (Boehringer Ingelheim Ltd) 60 capsule (product)
1375311000001104,Dipyridamole 25mg tablets (A A H Pharmaceuticals Ltd) 84 tablet (product)
1376011000001106,Dipyridamole 25mg tablets (Accord Healthcare Ltd) 84 tablet
1376511000001103,Persantin 25mg tablets (Boehringer Ingelheim Ltd) 84 tablet 3 x 28 tablets (product)
1377311000001107,Dipyridamole 25mg tablets (Kent Pharma (UK) Ltd) 84 tablet 6 x 14 tablets
1377411000001100,Dipyridamole 25mg tablets (Kent Pharma (UK) Ltd) 100 tablet
1377711000001106,Dipyridamole 25mg tablets (Unichem Plc) 84 tablet (product)
1377811000001103,Dipyridamole 25mg tablets (Unichem Plc) 100 tablet (product)
138011000001102,Aspirin 75mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) (product)
13852611000001105,Clopidogrel 75mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13852711000001101,Clopidogrel 75mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
1387111000001103,Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd) 28 tablet
1387411000001108,Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd) 100 tablet (product)
1387611000001106,Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd) 1000 tablet (product)
1387711000001102,Aspirin 75mg dispersible tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
1387811000001105,Aspirin 75mg dispersible tablets (Accord Healthcare Ltd) 100 tablet
1387911000001100,Aspirin 75mg dispersible tablets (Accord Healthcare Ltd) 1000 tablet
1388011000001103,Aspirin 75mg dispersible tablets (Approved Prescription Services) 28 tablet 2 x 14 tablets (product)
1388211000001108,Aspirin 75mg dispersible tablets (Approved Prescription Services) 100 tablet (product)
1388311000001100,PostMI 75 dispersible tablets (Ashbourne Pharmaceuticals Ltd) 28 tablet (product)
1388711000001101,Aspirin 75mg dispersible tablets (The Boots Company) 100 tablet (product)
1388911000001104,Aspirin 75mg dispersible tablets (The Boots Company) 1000 tablet (product)
1389111000001109,Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd) 100 tablet (product)
1389311000001106,Aspirin 75mg dispersible tablets (Kent Pharma (UK) Ltd) 28 tablet
1389411000001104,Aspirin 75mg dispersible tablets (Kent Pharma (UK) Ltd) 100 tablet
1389611000001101,Aspirin 75mg dispersible tablets (Kent Pharma (UK) Ltd) 1000 tablet
1389911000001107,Aspirin 75mg dispersible tablets (Thornton & Ross Ltd) 100 tablet (product)
1390011000001104,Aspirin 75mg dispersible tablets (Unichem Plc) 28 tablet 2 x 14 tablets (product)
1390311000001101,Aspirin 75mg dispersible tablets (Unichem Plc) 100 tablet (product)
1390511000001107,Aspirin 75mg dispersible tablets (Unichem Plc) 1000 tablet (product)
13945211000001106,Persantin Retard 200mg capsules (Doncaster Pharmaceuticals Ltd) (product)
13945311000001103,Persantin Retard 200mg capsules (Doncaster Pharmaceuticals Ltd) 60 capsule (product)
13945811000001107,Plavix 75mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13945911000001102,Plavix 75mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
14709911000001101,Persantin Retard 200mg capsules (Sigma Pharmaceuticals Plc) (product)
14710011000001106,Persantin Retard 200mg capsules (Sigma Pharmaceuticals Plc) 60 capsule (product)
14714411000001108,Clopidogrel 75mg tablets (Sigma Pharmaceuticals Plc) (product)
14714511000001107,Clopidogrel 75mg tablets (Sigma Pharmaceuticals Plc) 28 tablet (product)
14721411000001102,Plavix 75mg tablets (Sigma Pharmaceuticals Plc) (product)
14721511000001103,Plavix 75mg tablets (Sigma Pharmaceuticals Plc) 28 tablet (product)
15069611000001102,Aspirin 75mg dispersible tablets (Sigma Pharmaceuticals Plc) (product)
15069711000001106,Aspirin 75mg dispersible tablets (Sigma Pharmaceuticals Plc) 100 tablet (product)
15082611000001107,Dipyridamole 50mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) (product)
15082711000001103,Dipyridamole 50mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) 150 ml (product)
151611000001100,Dipyridamole 100mg tablets (A A H Pharmaceuticals Ltd) (product)
15227711000001104,Prasugrel (substance)
15240111000001104,Prasugrel 10mg tablets 28 tablet (product)
15240211000001105,Efient 10mg tablets (Vygoris Ltd)
15240311000001102,Efient 10mg tablets (Vygoris Ltd) 28 tablet 2 x 14 tablets
15241011000001109,Prasugrel 5mg tablets 28 tablet (product)
15241111000001105,Efient 5mg tablets (Vygoris Ltd)
15241211000001104,Efient 5mg tablets (Vygoris Ltd) 28 tablet 2 x 14 tablets
15244111000001108,Prasugrel hydrochloride (substance)
15361611000001102,Prasugrel (product)
15362111000001100,Prasugrel 10mg tablets (product)
15362211000001106,Prasugrel 5mg tablets (product)
15907411000001101,Grepid 75mg tablets (Kent Pharma (UK) Ltd)
15907511000001102,Grepid 75mg tablets (Kent Pharma (UK) Ltd) 30 tablet 3 x 10 tablets
15923011000001108,Clopidogrel 75mg tablets (Arrow Generics Ltd) (product)
15923111000001109,Clopidogrel 75mg tablets (Arrow Generics Ltd) 28 tablet 2 x 14 tablets (product)
15926111000001104,Clopidogrel 75mg tablets (Teva UK Ltd) (product)
15926211000001105,Clopidogrel 75mg tablets (Teva UK Ltd) 28 tablet 2 x 14 tablets (product)
15927711000001100,Clopidogrel 75mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
15927811000001108,Clopidogrel 75mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet (product)
15927911000001103,Clopidogrel 75mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet (product)
15933611000001103,Clopidogrel 75mg tablets (A A H Pharmaceuticals Ltd) (product)
15933711000001107,Clopidogrel 75mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets (product)
15933811000001104,Clopidogrel 75mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets (product)
15967511000001101,Aspirin 75mg gastro-resistant tablets (Zanza Laboratories Ltd) (product)
15967611000001102,Aspirin 75mg gastro-resistant tablets (Zanza Laboratories Ltd) 28 tablet (product)
15967711000001106,Aspirin 75mg gastro-resistant tablets (Zanza Laboratories Ltd) 56 tablet 2 x 28 tablets (product)
15981011000001101,Clopidogrel 75mg tablets (Actavis UK Ltd) (product)
15981111000001100,Clopidogrel 75mg tablets (Actavis UK Ltd) 30 tablet 3 x 10 tablets (product)
15985111000001103,Aspirin 75mg dispersible tablets (Bristol Laboratories Ltd) (product)
15985211000001109,Aspirin 75mg dispersible tablets (Bristol Laboratories Ltd) 28 tablet 2 x 14 tablets (product)
15985311000001101,Aspirin 75mg dispersible tablets (Bristol Laboratories Ltd) 1000 tablet (product)
15985411000001108,Aspirin 75mg gastro-resistant tablets (Bristol Laboratories Ltd) (product)
15985511000001107,Aspirin 75mg gastro-resistant tablets (Bristol Laboratories Ltd) 28 tablet 2 x 14 tablets (product)
15985611000001106,Aspirin 75mg gastro-resistant tablets (Bristol Laboratories Ltd) 56 tablet 4 x 14 tablets (product)
16059911000001101,Clopidogrel 25mg/5ml oral suspension 1 ml (product)
16060011000001104,Clopidogrel 25mg/5ml oral suspension (Drug Tariff Special Order)
16060111000001103,Clopidogrel 25mg/5ml oral suspension (Drug Tariff Special Order) 1 ml
