REPO_PATH: code_lists/medications/diabetes/insulin_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/insulin_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/insulin_dmd.csv
FILE_NAME: insulin_dmd.csv

CONTENT_START
dmd_code,term,drug_substance
11122711000001100,Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11123011000001106,Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) (product),Mix insulin
11123211000001101,Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11123311000001109,Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) (product),Mix insulin
11123411000001102,Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11123611000001104,Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) (product),Mix insulin
11123711000001108,Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11124011000001108,Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Ltd) (product),Mix insulin
11124111000001109,Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Ltd) 1 vial (product),Mix insulin
11124211000001103,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) (product),Mix insulin
11124311000001106,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11124411000001104,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc),Mix insulin
