REPO_PATH: code_lists/medications/blood pressure lowering/arb_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/arb_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/arb_dmd.csv
FILE_NAME: arb_dmd.csv

CONTENT_START
dmd_code,term
37429211000001101,Aprovel 300mg tablets (CST Pharma Ltd)
37429311000001109,Aprovel 300mg tablets (CST Pharma Ltd) 28 tablet
13828711000001102,Aprovel 300mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13828811000001105,Aprovel 300mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
29960611000001108,Aprovel 300mg tablets (Lexon (UK) Ltd) (product)
29960711000001104,Aprovel 300mg tablets (Lexon (UK) Ltd) 28 tablet (product)
16263911000001101,Aprovel 300mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16264211000001108,Aprovel 300mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
17586511000001105,Aprovel 300mg tablets (Necessity Supplies Ltd) (product)
17586711000001100,Aprovel 300mg tablets (Necessity Supplies Ltd) 28 tablet (product)
10461811000001101,Aprovel 300mg tablets (PI) (Dowelhurst Ltd) (product)
10461911000001106,Aprovel 300mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
5333411000001108,Aprovel 300mg tablets (PI) (Waymade Ltd) (product)
5333511000001107,Aprovel 300mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
323211000001107,Aprovel 300mg tablets (Sanofi-Synthelabo Ltd) (product)
1355811000001106,Aprovel 300mg tablets (Sanofi-Synthelabo Ltd) 28 tablet 2 x 14 tablets (product)
14193711000001105,Aprovel 300mg tablets (Sigma Pharmaceuticals Plc) (product)
14193811000001102,Aprovel 300mg tablets (Sigma Pharmaceuticals Plc) 28 tablet (product)
3036801000001106,Aprovel 75mg tablet
37429411000001102,Aprovel 75mg tablets (CST Pharma Ltd)
37429511000001103,Aprovel 75mg tablets (CST Pharma Ltd) 28 tablet
13828311000001101,Aprovel 75mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13828411000001108,Aprovel 75mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
29960211000001106,Aprovel 75mg tablets (Lexon (UK) Ltd) (product)
29960311000001103,Aprovel 75mg tablets (Lexon (UK) Ltd) 28 tablet (product)
