REPO_PATH: code_lists/medications/blood pressure lowering/acei_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/acei_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/acei_dmd.csv
FILE_NAME: acei_dmd.csv

CONTENT_START
dmd_code,term
11880211000001106,Perindopril 8mg tablets (Teva UK Ltd) 30 tablet 3 x 10 tablets (product)
11925111000001106,Perindopril erbumine 8mg tablets (Kent Pharma (UK) Ltd)
11925211000001100,Perindopril erbumine 8mg tablets (Kent Pharma (UK) Ltd) 30 tablet 2 x 15 tablets
11980601000001101,Noyada
120001000001104,Enalapril maleate 2.5mg+5mg tablet starter pack
12006311000001101,Fosinopril 20mg/5ml oral suspension 1 ml (product)
12006411000001108,Fosinopril 20mg/5ml oral suspension (Special Order) (product)
12006511000001107,Fosinopril 20mg/5ml oral suspension (Special Order) 1 ml (product)
12006611000001106,Fosinopril 20mg/5ml oral solution 1 ml (product)
12006711000001102,Fosinopril 20mg/5ml oral solution (Special Order) (product)
12006811000001105,Fosinopril 20mg/5ml oral solution (Special Order) 1 ml (product)
12034611000001106,Fosinopril sodium 4 mg/ml oral solution
12034711000001102,Fosinopril sodium 4 mg/ml oral suspension
12060711000001101,Perindopril 2mg tablets (UniChem Ltd) (product)
12060911000001104,Perindopril 2mg tablets (UniChem Ltd) 30 tablet (product)
12061211000001102,Perindopril 4mg tablets (UniChem Ltd) (product)
12061311000001105,Perindopril 4mg tablets (UniChem Ltd) 30 tablet (product)
12061411000001103,Perindopril 8mg tablets (UniChem Ltd) (product)
12061511000001104,Perindopril 8mg tablets (UniChem Ltd) 30 tablet (product)
12072411000001104,Enalapril 1.2mg/5ml oral suspension 1 ml (product)
12072511000001100,Enalapril 1.2mg/5ml oral suspension (Special Order) (product)
12072611000001101,Enalapril 1.2mg/5ml oral suspension (Special Order) 1 ml (product)
12073011000001104,Enalapril 1.2mg/5ml oral solution 1 ml (product)
12073111000001103,Enalapril 1.2mg/5ml oral solution (Special Order) (product)
12073211000001109,Enalapril 1.2mg/5ml oral solution (Special Order) 1 ml (product)
12073311000001101,Enalapril 1.5mg/5ml oral suspension 1 ml (product)
12073411000001108,Enalapril 1.5mg/5ml oral suspension (Special Order) (product)
12073511000001107,Enalapril 1.5mg/5ml oral suspension (Special Order) 1 ml (product)
12073611000001106,Enalapril 1.5mg/5ml oral solution 1 ml (product)
12073711000001102,Enalapril 1.5mg/5ml oral solution (Special Order) (product)
12073811000001105,Enalapril 1.5mg/5ml oral solution (Special Order) 1 ml (product)
12073911000001100,Enalapril 12.5mg/5ml oral suspension 1 ml (product)
12074011000001102,Enalapril 12.5mg/5ml oral suspension (Special Order) (product)
12074111000001101,Enalapril 12.5mg/5ml oral suspension (Special Order) 1 ml (product)
12074211000001107,Enalapril 12.5mg/5ml oral solution 1 ml (product)
12074311000001104,Enalapril 12.5mg/5ml oral solution (Special Order) (product)
12074411000001106,Enalapril 12.5mg/5ml oral solution (Special Order) 1 ml (product)
12074511000001105,Enalapril 1mg/5ml oral suspension 1 ml (product)
12074611000001109,Enalapril 1mg/5ml oral suspension (Special Order) (product)
12074711000001100,Enalapril 1mg/5ml oral suspension (Special Order) 1 ml (product)
12074811000001108,Enalapril 1mg/5ml oral solution 1 ml (product)
12074911000001103,Enalapril 1mg/5ml oral solution (Special Order) (product)
12075011000001103,Enalapril 1mg/5ml oral solution (Special Order) 1 ml (product)
12075311000001100,Enalapril 25mg/5ml oral suspension 1 ml (product)
12075611000001105,Enalapril 25mg/5ml oral suspension (Special Order) (product)
12075811000001109,Enalapril 25mg/5ml oral suspension (Special Order) 1 ml (product)
12076111000001108,Enalapril 25mg/5ml oral solution 1 ml (product)
12076511000001104,Enalapril 25mg/5ml oral solution (Special Order) (product)
12076811000001101,Enalapril 25mg/5ml oral solution (Special Order) 1 ml (product)
12077011000001105,Enalapril 2mg/5ml oral suspension 1 ml (product)
12077111000001106,Enalapril 2mg/5ml oral suspension (Special Order) (product)
12077211000001100,Enalapril 2mg/5ml oral suspension (Special Order) 1 ml (product)
12077311000001108,Enalapril 2mg/5ml oral solution 1 ml (product)
12077411000001101,Enalapril 2mg/5ml oral solution (Special Order) (product)
12077511000001102,Enalapril 2mg/5ml oral solution (Special Order) 1 ml (product)
12077611000001103,Enalapril 3.5mg/5ml oral suspension 1 ml (product)
12077711000001107,Enalapril 3.5mg/5ml oral suspension (Special Order) (product)
12077811000001104,Enalapril 3.5mg/5ml oral suspension (Special Order) 1 ml (product)
12077911000001109,Enalapril 3.5mg/5ml oral solution 1 ml (product)
12078011000001106,Enalapril 3.5mg/5ml oral solution (Special Order) (product)
12078111000001107,Enalapril 3.5mg/5ml oral solution (Special Order) 1 ml (product)
1208511000001104,Ramipril 2.5mg capsules 7 capsule (product)
12085111000001108,Enalapril maleate 240 microgram/ml oral solution
12085211000001102,Enalapril maleate 240 microgram/ml oral suspension
12085311000001105,Enalapril maleate 300 microgram/ml oral solution
12085411000001103,Enalapril maleate 300 microgram/ml oral suspension
12085511000001104,Enalapril maleate 2.5 mg/ml oral solution
12085611000001100,Enalapril maleate 2.5 mg/ml oral suspension
12085711000001109,Enalapril maleate 200 microgram/ml oral solution
12085811000001101,Enalapril maleate 200 microgram/ml oral suspension
12085911000001106,Enalapril maleate 5 mg/ml oral solution
12086011000001103,Enalapril maleate 5 mg/ml oral suspension
12086111000001102,Enalapril maleate 400 microgram/ml oral solution
12086211000001108,Enalapril maleate 400 microgram/ml oral suspension
12086311000001100,Enalapril maleate 700 microgram/ml oral solution
12086411000001107,Enalapril maleate 700 microgram/ml oral suspension
1210211000001103,Fosinopril 10mg tablets 28 tablet (product)
12170201000001109,NOYADA 5mg/5mL oral solution
12170301000001100,CAPTOPRIL 5mg/5mL oral solution
12170401000001108,NOYADA 25mg/5mL oral solution
12170501000001107,CAPTOPRIL 25mg/5mL oral solution
12198011000001107,Coversyl Plus tablets (Waymade Healthcare Plc) (product)
12198111000001108,Coversyl Plus tablets (Waymade Healthcare Plc) 30 tablet (product)
12250511000001108,Enalapril 3.75mg/5ml oral suspension 1 ml (product)
12250611000001107,Enalapril 3.75mg/5ml oral suspension (Special Order) (product)
12250711000001103,Enalapril 3.75mg/5ml oral suspension (Special Order) 1 ml (product)
12250811000001106,Enalapril 3.75mg/5ml oral solution 1 ml (product)
12251011000001109,Enalapril 3.75mg/5ml oral solution (Special Order) (product)
12251111000001105,Enalapril 3.75mg/5ml oral solution (Special Order) 1 ml (product)
12251211000001104,Enalapril 3mg/5ml oral suspension 1 ml (product)
12251311000001107,Enalapril 3mg/5ml oral suspension (Special Order) (product)
12251511000001101,Enalapril 3mg/5ml oral suspension (Special Order) 1 ml (product)
12251811000001103,Enalapril 3mg/5ml oral solution 1 ml (product)
