REPO_PATH: code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
FILE_NAME: thiazide_diuretics_dmd.csv

CONTENT_START
dmd_code,term
10542011000001100,Moducren tablets (PI) (Waymade Ltd) (product)
10542111000001104,Moducren tablets (PI) (Waymade Ltd) 30 tablet (product)
1061801000001103,Monozide 10 tablet
1062011000001104,Co-amilozide 5mg/50mg tablets 28 tablet (product)
1065901000001106,Zestoretic 10 tablet
1066501000001106,Spiro-Co 50mg tablet
1070601000001104,Lisinopril+hydrochlorothiazide 10mg/12.5mg tablet - product
1070601000001104,Lisinopril+hydrochlorothiazide 10mg/12.5mg tablet - product
1073711000001102,Atenolol 25mg / Bendroflumethiazide 1.25mg capsules 56 capsule (product)
10746501000001106,OLMETEC PLUS 40mg/12.5mg tablets
10746601000001105,OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
10746601000001105,OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets
1079211000001106,Chlortalidone 50mg tablets 28 tablet (product)
1079401000001108,Carace 10 Plus tablet
10850511000001106,Co-Diovan 160mg/12.5mg tablets (PI) (Waymade Ltd) (product)
10850611000001105,Co-Diovan 160mg/12.5mg tablets (PI) (Waymade Ltd) 28 tablet (product)
1088411000001108,Co-amilozide 2.5mg/25mg tablets 100 tablet (product)
1088501000001105,Neo-Bendromax 2.5mg tablet
1088601000001109,Neo-Bendromax 5mg tablet
1088701000001104,Nindaxa 2.5mg tablet
1096311000001104,Timolol 10mg / Bendroflumethiazide 2.5mg tablets 30 tablet (product)
1096401000001109,Spiro-Co 25mg tablet
1096801000001106,Bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet
1096801000001106,Bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet
10968511000001107,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets 28 tablet (product)
10968511000001107,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets 28 tablet (product)
10968611000001106,CoAprovel 300mg/25mg tablets (sanofi-aventis) (product)
10968711000001102,CoAprovel 300mg/25mg tablets (sanofi-aventis) 28 tablet 2 x 14 tablets (product)
10970311000001105,Hydrochlorothiazide 25 mg and irbesartan 300 mg oral tablet 1 tablet tablet
10970311000001105,Hydrochlorothiazide 25 mg and irbesartan 300 mg oral tablet 1 tablet tablet
10977201000001100,Sevikar HCT
110061000001108,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets (product)
110061000001108,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets (product)
11009711000001106,Bendroflumethiazide 2.5mg tablets (Dr Reddy's Labs) (product)
11009911000001108,Bendroflumethiazide 2.5mg tablets (Dr Reddy's Labs) 500 tablet (product)
11010111000001102,Bendroflumethiazide 5mg tablets (Dr Reddy's Labs) (product)
